Crypt IE - Crypt LP,Crypt IE - Muscularis,Crypt IE - Top IE,Crypt IE - Top LP,Crypt LP - Muscularis,Crypt LP - Top IE,Crypt LP - Top LP,Muscularis - Top IE,Muscularis - Top LP,Top IE - Top LP,contrast_norm
-0.27706817531528316,-0.38675583805012825,0.0165044265102689,-0.016017813322303454,-0.10968766273484509,0.29357260182555206,0.2610503619929797,0.40326026456039715,0.3707380247278248,-0.03252223983257235,0.833284216764076
-0.029493011674630476,0.7814370305837509,0.06683168954708996,0.31167533506261824,0.8109300422583814,0.09632470122172043,0.3411683467372487,-0.714605341036661,-0.4697616955211326,0.24484364551552829,1.512510739401116
-0.1292528383117122,-0.2728165030314963,0.0637706270237931,-0.08769513899158282,-0.1435636647197841,0.1930234653355053,0.04155769932012937,0.3365871300552894,0.18512136403991347,-0.15146576601537592,0.577053369282159
-0.15335766181375288,-0.49576060909571834,0.07813573628664014,-0.1438819098691545,-0.34240294728196546,0.23149339810039302,0.009475751944598376,0.5738963453823585,0.35187869922656384,-0.22201764615579464,0.984627128513182
-0.16453341332235294,-0.16482257800779243,-0.3250349592887053,-0.0869573497688314,-0.00028916468543949136,-0.16050154596635235,0.07757606355352153,-0.16021238128091286,0.07786522823896103,0.2380776095198739,0.5363188010023855
-0.2519746739063234,-0.1311680716361393,-0.3294812301878168,-0.10468688948162565,0.12080660227018408,-0.07750655628149339,0.14728778442469775,-0.19831315855167747,0.02648118215451367,0.22479434070619114,0.5771226693852443
0.19782929347478972,0.7184127276296316,-0.1506043262466663,0.035278663803735344,0.5205834341548419,-0.34843361972145603,-0.16255062967105438,-0.8690170538762979,-0.6831340638258963,0.18588299005040165,1.501476142112579
0.21915105508364285,0.4429042624601916,0.12435892061526033,0.19652796443614517,0.22375320737654875,-0.09479213446838253,-0.02262309064749768,-0.3185453418449313,-0.24637629802404643,0.07216904382088485,0.7247229741878312
0.21147500832620675,0.22747480634178943,-0.18483769580596632,0.25010423551775596,0.015999798015582684,-0.39631270413217307,0.03862922719154918,-0.4123125021477557,0.022629429175966498,0.4349419313237223,0.8436134857764411
0.7063342007019153,0.903295972271324,0.20074941399468094,0.7532932088183236,0.1969617715694087,-0.5055847867072344,0.046959008116408296,-0.702546558276643,-0.1500027634530004,0.5525437948236427,1.743730141826615
0.15123878800377594,-0.568522818214611,-0.1170969949174328,-0.26525176350261515,-0.7197616062183869,-0.26833578292120874,-0.4164905515063911,0.45142582329717823,0.3032710547119959,-0.14815476858518234,1.229388162373371
0.13460687516009306,0.9281242289551787,-0.022602129508467295,0.17271479754922525,0.7935173537950856,-0.15720900466856036,0.03810792238913219,-0.950726358463646,-0.7554094314059534,0.19531692705769255,1.75453248706495
0.1305759257427327,0.3554859494816833,0.27699658049254855,0.4270871093762376,0.22491002373895067,0.14642065474981586,0.2965111836335049,-0.0784893689891348,0.07160115989455423,0.15009052888368904,0.772209634879601
-0.1126166064396441,-0.39958828606555286,0.0029782569583724494,-0.08210237901754902,-0.28697167962590875,0.11559486339801656,0.030514227422095086,0.4025665430239253,0.31748590704800383,-0.08508063597592147,0.7388131305293123
-0.024829636560506074,-0.06602593452751337,0.30033974673505087,-0.02479315043949759,-0.0411962979670073,0.32516938329555695,3.648612100848325e-05,0.36636568126256425,0.041232784088015784,-0.32513289717454846,0.6669799236150455
