gene,contrast,delta_expression
Runx3,Muscularis - Top IE,-0.6522976428361348
Itgae,Muscularis - Top IE,-0.9059204558870492
Srebf2,Muscularis - Top IE,-0.8154088518382704
Il2rb,Muscularis - Top IE,-0.0986104608295878
Cd69,Muscularis - Top IE,0.45389874125009144
Slamf6,Muscularis - Top LP,0.7120966734577867
Il7r,Muscularis - Top LP,-0.44411315227278
Tcf7,Muscularis - Top LP,0.030295095511429948
Il18r1,Muscularis - Top LP,0.17852307474138196
Ifng,Muscularis - Top LP,-0.04400401038496826
Ccr7,Muscularis - Top LP,0.7017543859649122
Gzma,Muscularis - Top LP,-0.43396077565837754
Gzmb,Muscularis - Top LP,0.22824812599618693
Pdcd1,Muscularis - Top LP,0.7066129343764185
Ifngr2,Muscularis - Top LP,-0.2296894321147792
Runx3,Muscularis - Top LP,-0.5677423052602746
Itgae,Muscularis - Top LP,-0.5675561814490011
Srebf2,Muscularis - Top LP,-0.714359841263794
Il2rb,Muscularis - Top LP,0.031738924942057656
Cd69,Muscularis - Top LP,0.4198597754918675
Slamf6,Top IE - Top LP,-0.046470985355939284
Il7r,Top IE - Top LP,-0.09971780951822884
Tcf7,Top IE - Top LP,-0.5442564503559183
Il18r1,Top IE - Top LP,-0.24784257424977094
Ifng,Top IE - Top LP,-0.05337854466938868
Ccr7,Top IE - Top LP,0.11879509051708638
Gzma,Top IE - Top LP,0.35462136335367955
Gzmb,Top IE - Top LP,0.2876106769867104
Pdcd1,Top IE - Top LP,0.04288205035927739
Ifngr2,Top IE - Top LP,0.6296047170040351
Runx3,Top IE - Top LP,0.0845553375758602
Itgae,Top IE - Top LP,0.33836427443804806
Srebf2,Top IE - Top LP,0.10104901057447635
Il2rb,Top IE - Top LP,0.13034938577164545
Cd69,Top IE - Top LP,-0.03403896575822393
Slamf6,contrast_norm,1.4670842291548993
Il7r,contrast_norm,1.1545525463773894
Tcf7,contrast_norm,1.3637507943129796
Il18r1,contrast_norm,0.7966176173168501
Ifng,contrast_norm,0.26074186355656326
Ccr7,contrast_norm,1.3440224246226025
Gzma,contrast_norm,1.3150769729374678
Gzmb,contrast_norm,0.6895967199013419
Pdcd1,contrast_norm,1.2628992358115998
Ifngr2,contrast_norm,1.5622719529007292
Runx3,contrast_norm,1.3338744938837535
Itgae,contrast_norm,1.5193459543790016
Srebf2,contrast_norm,1.5898479791978266
Il2rb,contrast_norm,0.37097967319982345
Cd69,contrast_norm,0.8534477434343752
