gene,contrast,delta_expression
Runx3,Crypt LP - Top LP,-0.4164905515063911
Itgae,Crypt LP - Top LP,0.03810792238913219
Srebf2,Crypt LP - Top LP,0.2965111836335049
Il2rb,Crypt LP - Top LP,0.030514227422095086
Cd69,Crypt LP - Top LP,3.648612100848325e-05
Slamf6,Muscularis - Top IE,0.40326026456039715
Il7r,Muscularis - Top IE,-0.714605341036661
Tcf7,Muscularis - Top IE,0.3365871300552894
Il18r1,Muscularis - Top IE,0.5738963453823585
Ifng,Muscularis - Top IE,-0.16021238128091286
Ccr7,Muscularis - Top IE,-0.19831315855167747
Gzma,Muscularis - Top IE,-0.8690170538762979
Gzmb,Muscularis - Top IE,-0.3185453418449313
Pdcd1,Muscularis - Top IE,-0.4123125021477557
Ifngr2,Muscularis - Top IE,-0.702546558276643
Runx3,Muscularis - Top IE,0.45142582329717823
Itgae,Muscularis - Top IE,-0.950726358463646
Srebf2,Muscularis - Top IE,-0.0784893689891348
Il2rb,Muscularis - Top IE,0.4025665430239253
Cd69,Muscularis - Top IE,0.36636568126256425
Slamf6,Muscularis - Top LP,0.3707380247278248
Il7r,Muscularis - Top LP,-0.4697616955211326
Tcf7,Muscularis - Top LP,0.18512136403991347
Il18r1,Muscularis - Top LP,0.35187869922656384
Ifng,Muscularis - Top LP,0.07786522823896103
Ccr7,Muscularis - Top LP,0.02648118215451367
Gzma,Muscularis - Top LP,-0.6831340638258963
Gzmb,Muscularis - Top LP,-0.24637629802404643
Pdcd1,Muscularis - Top LP,0.022629429175966498
Ifngr2,Muscularis - Top LP,-0.1500027634530004
Runx3,Muscularis - Top LP,0.3032710547119959
Itgae,Muscularis - Top LP,-0.7554094314059534
Srebf2,Muscularis - Top LP,0.07160115989455423
Il2rb,Muscularis - Top LP,0.31748590704800383
Cd69,Muscularis - Top LP,0.041232784088015784
Slamf6,Top IE - Top LP,-0.03252223983257235
Il7r,Top IE - Top LP,0.24484364551552829
Tcf7,Top IE - Top LP,-0.15146576601537592
Il18r1,Top IE - Top LP,-0.22201764615579464
Ifng,Top IE - Top LP,0.2380776095198739
Ccr7,Top IE - Top LP,0.22479434070619114
Gzma,Top IE - Top LP,0.18588299005040165
Gzmb,Top IE - Top LP,0.07216904382088485
Pdcd1,Top IE - Top LP,0.4349419313237223
Ifngr2,Top IE - Top LP,0.5525437948236427
Runx3,Top IE - Top LP,-0.14815476858518234
Itgae,Top IE - Top LP,0.19531692705769255
Srebf2,Top IE - Top LP,0.15009052888368904
Il2rb,Top IE - Top LP,-0.08508063597592147
Cd69,Top IE - Top LP,-0.32513289717454846
Slamf6,contrast_norm,0.833284216764076
Il7r,contrast_norm,1.512510739401116
Tcf7,contrast_norm,0.577053369282159
Il18r1,contrast_norm,0.984627128513182
Ifng,contrast_norm,0.5363188010023855
Ccr7,contrast_norm,0.5771226693852443
Gzma,contrast_norm,1.501476142112579
Gzmb,contrast_norm,0.7247229741878312
Pdcd1,contrast_norm,0.8436134857764411
Ifngr2,contrast_norm,1.743730141826615
Runx3,contrast_norm,1.229388162373371
Itgae,contrast_norm,1.75453248706495
Srebf2,contrast_norm,0.772209634879601
Il2rb,contrast_norm,0.7388131305293123
Cd69,contrast_norm,0.6669799236150455
